Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Active_Cases,CFR,Recovery_Rate,Vaccination_Rate,People_Vaccinated,People_Fully_Vaccinated,Total_vaccinations,Tests_Performed,Test_Positivity_Rate
Delhi,India,28.61,77.21,6/23/2022,3855669,131087,3223381,501201,3.4,83.6,89.02,15304836,12862574,30259477,5110192,75.45
Mexico City,Mexico,19.43,-99.13,6/22/2022,2193242,98314,1288765,806163,4.48,58.76,16.43,9440425,5749488,17000511,10570305,20.75
California,USA,36.77,-119.42,7/3/2023,3666214,115205,3182233,368776,3.14,86.8,35.4,28067106,15368713,45118691,74853689,4.9
Jalisco,Mexico,20.67,-103.35,4/2/2021,3589309,138258,2224098,1226953,3.85,61.96,19.17,8320248,7583648,20672494,36276424,9.89
Catalonia,Spain,41.39,2.17,12/21/2021,1256594,11176,984847,260571,0.89,78.37,26.75,13142245,7932188,21423926,88800760,1.42
Kerala,India,10.85,76.27,7/30/2021,2991645,70561,2709504,211580,2.36,90.57,159.24,17997345,11185637,30239646,62518073,4.79
Delhi,India,28.61,77.21,10/7/2021,1544325,17718,774144,752463,1.15,50.13,77.89,22278870,19737806,46288005,20772730,7.43
Delhi,India,28.61,77.21,4/27/2022,3395157,51819,2064785,1278553,1.53,60.82,17.27,13589614,11844350,26308309,25740035,13.19
Lombardy,Italy,45.47,9.19,1/23/2021,2256930,25598,1309346,921986,1.13,58.01,144.92,17528174,12301871,32202667,19732446,11.44
California,USA,36.77,-119.42,5/1/2022,3160968,13694,1776483,1370791,0.43,56.2,3.43,1850824,1408015,4531898,24551412,12.87
Saint Petersburg,Russia,59.93,30.33,2/7/2023,2779161,105212,1425051,1248898,3.79,51.28,61.74,26847348,16892985,45397643,20952990,13.26
Ontario,Canada,43.65,-79.38,12/6/2022,1352864,59546,1002058,291260,4.4,74.07,38.28,28688151,15593936,48259482,89719616,1.51
Delhi,India,28.61,77.21,5/15/2022,1393205,3922,800533,588750,0.28,57.46,43.73,29308169,23489176,56708038,30867032,4.51
New York,USA,40.71,-74.01,2/25/2023,3329641,21337,2612609,695695,0.64,78.47,5.77,3492323,1989877,8537344,92620312,3.59
Shanghai,China,31.23,121.47,4/17/2021,3176511,69891,2441295,665325,2.2,76.85,31.25,6118490,3854973,13279151,6594706,48.17
Mexico City,Mexico,19.43,-99.13,2/10/2023,2367427,71489,2206729,89209,3.02,93.21,19.49,19281059,18008353,39296007,91615519,2.58
Beijing,China,39.9,116.4,11/13/2022,4737433,196826,3418886,1121721,4.15,72.17,33.95,24177345,14324254,39879202,44562045,10.63
Amazonas,Brazil,-3.07,-60.02,7/10/2022,1011696,32272,848794,130630,3.19,83.9,37.96,24910744,15833544,44362451,30400921,3.33
Uttar Pradesh,India,26.85,80.91,7/26/2022,2698445,95652,2301875,300918,3.54,85.3,26.09,17443984,11651141,31483730,44766351,6.03
Delhi,India,28.61,77.21,8/17/2021,2029132,52943,1532389,443800,2.61,75.52,19.53,13683382,12014095,29180967,95126227,2.13
Catalonia,Spain,41.39,2.17,12/12/2021,2078948,63237,1295427,720284,3.04,62.31,32.08,19271194,13520248,33922362,46000403,4.52
Wales,UK,51.48,-3.18,2/15/2023,2871333,48825,1955362,867146,1.7,68.1,46.63,10619570,8133094,19984892,30203810,9.51
Nuevo León,Mexico,25.67,-100.31,11/12/2021,376974,5116,305261,66597,1.36,80.98,270.47,28828089,18698127,48475245,27156989,1.39
Tamil Nadu,India,13.08,80.27,7/25/2021,4526731,72190,2424209,2030332,1.59,53.55,20.05,18952390,18811330,40154877,86941240,5.21
Delhi,India,28.61,77.21,7/21/2022,4306895,70382,2610198,1626315,1.63,60.61,34.92,12437672,8171110,23807649,93243083,4.62
Veneto,Italy,45.44,12.33,6/26/2021,4251175,22062,2530700,1698413,0.52,59.53,121.85,22495589,12703356,39180442,22152268,19.19
Amazonas,Brazil,-3.07,-60.02,12/1/2021,95006,1755,52829,40422,1.85,55.61,34.31,26720016,14293464,44456731,5693794,1.67
British Columbia,Canada,49.28,-123.12,5/15/2022,4912196,233436,2658022,2020738,4.75,54.11,10.43,7061315,7014311,17820097,65460029,7.5
Catalonia,Spain,41.39,2.17,11/13/2022,4230651,141045,4025976,63630,3.33,95.16,45.78,23095750,21219241,49308626,86195353,4.91
Jalisco,Mexico,20.67,-103.35,3/1/2023,342699,15228,243247,84224,4.44,70.98,6.73,719263,591511,1357817,21403642,1.6
Saint Petersburg,Russia,59.93,30.33,9/12/2023,2314549,54706,1515746,744097,2.36,65.49,42.87,6613489,6064444,14357086,56599445,4.09
British Columbia,Canada,49.28,-123.12,9/14/2022,3350209,96282,1910670,1343257,2.87,57.03,45.39,24277942,17506550,45173399,330324,1014.22
Amazonas,Brazil,-3.07,-60.02,4/27/2023,420893,17361,226007,177525,4.12,53.7,58.97,26754160,17286947,44837986,75523190,0.56
Scotland,UK,55.95,-3.19,9/1/2022,314839,9633,259289,45917,3.06,82.36,35.74,23101086,15675952,42124511,11525414,2.73
Shanghai,China,31.23,121.47,2/25/2022,2487272,50450,2260994,175828,2.03,90.9,95.33,24189211,14208845,43106425,78140963,3.18
British Columbia,Canada,49.28,-123.12,11/22/2021,1103053,5071,867124,230858,0.46,78.61,35.01,23277719,22304145,49745642,86359977,1.28
Quebec,Canada,46.81,-71.21,7/4/2022,993480,18256,582419,392805,1.84,58.62,11.57,7458572,5297730,15771663,41503350,2.39
Tamil Nadu,India,13.08,80.27,1/29/2021,3393320,159861,2299027,934432,4.71,67.75,8.7,4584598,2295652,9621273,65810140,5.16
England,UK,51.51,-0.13,4/16/2023,4560137,175520,3764309,620308,3.85,82.55,41.3,26551624,24180511,52952908,53514439,8.52
